persistent_identifier,title,contact_owner,contact_originator,contact_metadata,contact_PointOfContact,contact_PrincipalInvestigator,contact_publisher,contact_processor,contact_data_structure_definition,subject,description,date_publication,date_download,format,langage,relation_source_download,relation_source_dataset,rights,source,lineage,supplemental_information,database_table_name,source_dataset_path_dataset
geargroup_iccat,Codes used for groups of gears in ICCAT,ird@ird.fr,paul.taconet@ird.fr;carlos.palma@iccat.int,paul.taconet@ird.fr;julien.barde@ird.fr;emmanuel.blondel@ird.fr,info@iccat.int,carlos.palma@iccat.int,ird@ird.fr,paul.taconet@ird.fr,,,Code list for groups of gears used by the International Commission for the Conservation of Atlantic Tunas (ICCAT). This code list was built using as input both the code list available in the ICCAT website and the ICCAT public domain datasets.,,2016-05-13,,,,,,ICCAT,"step1: The code list of gears released by ICCAT and available in the ICCAT website at this url: https://www.iccat.int/en/Stat_Codes.htm was downloaded.
step2: Since the codes in this code list does not englobe all the codes for groups of gears used in the ICCAT public domain datasets, the latter were collated.
step3: The codes and labels used for groups of gears in these datasets were identified. A code list for groups of gears was reconstitued.
step4: The code list was integrated into the Sardara database",,gear.geargroup_iccat,http://data.d4science.org/TmhhWjFrZUxlbEZoTmppdjlsK0l0a0tSQktwVU81RE5HbWJQNStIS0N6Yz0
geargroup_iotc,Codes used for groups of gears in IOTC,ird@ird.fr,paul.taconet@ird.fr;fabio.fiorellato@iotc.org,paul.taconet@ird.fr;julien.barde@ird.fr;emmanuel.blondel@ird.fr,secretariat@iotc.org,fabio.fiorellato@iotc.org,ird@ird.fr,paul.taconet@ird.fr,,,Code list for groups of gears used by the Indian Ocean Tuna Commission (IOTC). This code list was built using as input various IOTC public domain datasets.,,2016-05-13,,,,,,IOTC,"step1: The IOTC public domain datasets were collated.
step2: The codes and labels used for groups of gears in these datasets were identified. A code list for gear was reconstitued.
step3: The code list was integrated into the Sardara database",,gear.geargroup_iotc,http://data.d4science.org/SXJraW5VVFMxOXRoTmppdjlsK0l0cUhwWmhtSGJaQTlHbWJQNStIS0N6Yz0
geargroup_tunaatlas,Code list for groups of gears used in the IRD Tuna Atlas,ird@ird.fr,paul.taconet@ird.fr,paul.taconet@ird.fr;julien.barde@ird.fr;emmanuel.blondel@ird.fr,paul.taconet@ird.fr,emmanuel.chassot@ird.fr,ird@ird.fr,paul.taconet@ird.fr,,,Code list for groups of gears used in the French National Research Institute for Sustainable Development (IRD) global Tuna Atlas.,,2016-03-14,,,,,,IRD,"step1: The groups of gears were determined.
step2: The code list was integrated into the Sardara database.",,gear.geargroup_tunaatlas,http://data.d4science.org/SXdkQ005QjlZdTloTmppdjlsK0l0djFjRW9JZUo2a1VHbWJQNStIS0N6Yz0
geargroup_wcpfc,Codes used for groups of gears in WCPFC,ird@ird.fr,paul.taconet@ird.fr;PeterW@spc.int,paul.taconet@ird.fr;julien.barde@ird.fr;emmanuel.blondel@ird.fr,wcpfc@wcpfc.int,PeterW@spc.int,ird@ird.fr,paul.taconet@ird.fr,,,"Code list for groups of gears used by the Western and Central Pacific Fisheries Commission (WCPFC). This code list was built using as input WCPFC public domain datasets. Since WCPFC does not use groups of gears, the code list used for groups of gears is the same as the one used for gears.",,2016-05-13,,,,,,WCPFC,"step1: The WCPFC public domain datasets were collated.
step2: The codes and labels used for fishing gears in these datasets were identified. A code list for gears was reconstitued. Since WCPFC does not use groups of gears, the code list used for groups of gears is the same as the one used for gears.
step3: The code list was integrated into the Sardara database.",,gear.geargroup_wcpfc,http://data.d4science.org/am1yYzljUjUyM1ZoTmppdjlsK0l0aFlMeitBRkFHc0FHbWJQNStIS0N6Yz0
iccat_stock_areas,ICCAT stock areas,ird@ird.fr,paul.taconet@ird.fr;carlos.palma@iccat.int,paul.taconet@ird.fr;julien.barde@ird.fr;emmanuel.blondel@ird.fr,info@iccat.int,carlos.palma@iccat.int,ird@ird.fr,paul.taconet@ird.fr,,,"The stock areas of the International Commission for the Conservation of Atlantic Tunas (ICCAT). In absence of information regarding the geospatial component for these areas, the whole ICCAT area of competence was set for all the codes of this code list.
Additional informations can be found here: https://www.iccat.int/Data/ICCAT_maps.pdf",,2017-04-05,,,,,,ICCAT,"step1: The ICCAT task 1 public domain dataset was downloaded on the ICCAT website.
step2: The codes and labels used for sampling areas in these datasets were identified. A code list for stock areas was reconstitued.
step3: The geographical component of this code list was added. In absence of information regarding the geospatial component for these areas, the whole ICCAT area of competence was set for all the codes of this code list.
step4: The code list was integrated into the Sardara database.
",,area.iccat_stock_areas,http://data.d4science.org/d09leksyNjA5UDFoTmppdjlsK0l0dGI2QkNsSXQ2ZFBHbWJQNStIS0N6Yz0
isscfg_revision_1,International Standard Classification of Fishing Gears (ISSCFG Rev.1),FAO-HQ@fao.org,luca.garibaldi@fao.org,paul.taconet@ird.fr;julien.barde@ird.fr;emmanuel.blondel@ird.fr,,CWP-Secretariat@fao.org,CWP-Secretariat@fao.org,paul.taconet@ird.fr,,,"The International Standard Statistical Classification of Fishing Gear (ISSCFG) was originally adopted during the 10th Session of the CWP (Madrid, 22-29 July 1980). The revised Classification - ISSCFG Revision 1 (Annex M II) - has been endorsed and adopted for CWP Member's implementation by the CWP at its 25th Session (Rome, 23-26 February 2016).",,2017-03-20,,,http://www.fao.org/fishery/cwp/handbook/M/en,,,FAO,"step1: The code list was downloaded on the 2017-03-20 at this url: ftp://ftp.fao.org/FI/DOCUMENT/cwp/handbook/annex/AnnexM2fishinggear.pdf reached through this web page: http://www.fao.org/fishery/cwp/handbook/M/en 
step2: The code list was transformed in CSV format.
step3: The code list was integrated into the Sardara database.",,gear.isscfg_revision_1,http://data.d4science.org/a2p3anRRTGd4czFoTmppdjlsK0l0aXBLU1hSMElyNjdHbWJQNStIS0N6Yz0
source_trfmos,Code list for RFMOs names used in the IRD Tuna Atlas,ird@ird.fr,paul.taconet@ird.fr,paul.taconet@ird.fr;julien.barde@ird.fr;emmanuel.blondel@ird.fr,paul.taconet@ird.fr,emmanuel.chassot@ird.fr,ird@ird.fr,paul.taconet@ird.fr,,,Code list for tuna Regional Fisheries Management Organisations used in the French National Research Institute for Sustainable Development (IRD) global Tuna Atlas.,,2016-01-01,,,,,,IRD,step1: The code list was created on the Sardara database.,,source.source_trfmos,http://data.d4science.org/M3QwU3o1bVhXUE5rd05NNWIrSFpaT2NHMHlybFBNOWVHbWJQNStIS0N6Yz0
rfmos_convention_areas_fao,Tuna RFMOs geographic areas of competence,FAO-HQ@fao.org,paul.taconet@ird.fr,paul.taconet@ird.fr;julien.barde@ird.fr;emmanuel.blondel@ird.fr,emmanuel.blondel@fao.org,FAO-HQ@fao.org,FAO-HQ@fao.org,paul.taconet@ird.fr,,,The Tuna Regional Fisheries Management Organizations geographic areas of competence.,,2016-04-06,,,,,,FAO,"step1: The geographical dataset was provided by the Food and Agriculture Organization of the United Nations (FAO) 
step2: The code list was integrated into the Sardara database.",,area.rfmos_convention_areas_fao,http://data.d4science.org/bWJlcTRQcDZEVzVoTmppdjlsK0l0cFhjZzFJZy9NY3pHbWJQNStIS0N6Yz0
sampling_areas_iccat,ICCAT sampling areas,ird@ird.fr,paul.taconet@ird.fr;carlos.palma@iccat.int,paul.taconet@ird.fr;julien.barde@ird.fr;emmanuel.blondel@ird.fr,info@iccat.int,carlos.palma@iccat.int,ird@ird.fr,paul.taconet@ird.fr,,,"The sampling areas of the International Commission for the Conservation of Atlantic Tunas (ICCAT). Under revision in 2016.
Additional informations can be found here: https://www.iccat.int/Data/ICCAT_maps.pdf",,2016-03-28,,,http://www.iccat.int/Data/ICCAT_maps.pdf,,,ICCAT,"step1: The ICCAT task 1 public domain dataset was downloaded on the ICCAT website.
step2: The codes and labels used for sampling areas in these datasets were identified. A code list for sampling areas was reconstitued.
step3: The geographical component of this code list was added for a sample of the codes only. In absence of information regarding the geospatial component for the other codes, the whole ICCAT area of competence was set.
step4: The code list was integrated into the Sardara database.
",,area.sampling_areas_iccat,http://data.d4science.org/WS9sZyt5VU40UXhrd05NNWIrSFpaRWR0bkNxdUN3QjdHbWJQNStIS0N6Yz0
schooltype_ccsbt,Code list for types of schools used by CCSBT,ird@ird.fr,paul.taconet@ird.fr;CMillar@ccsbt.org,paul.taconet@ird.fr;julien.barde@ird.fr;emmanuel.blondel@ird.fr,CMillar@ccsbt.org,CMillar@ccsbt.org,ird@ird.fr,paul.taconet@ird.fr,,,Code list for types of schools used by the Commission for the Conservation of Southern Bluefin Tuna (CCSBT). This code list was built using as input various CCSBT public domain datasets.,,2017-05-09,,,,,,CCSBT,"step1: The CCSBT public domain datasets were collated.
step2: The codes and labels used for types of schools in these datasets were identified. A code list for types of schools was reconstitued.
step3: The code list was integrated into the Sardara database",,schooltype.schooltype_ccsbt,http://data.d4science.org/SW9sOEN4WjNwcmhoTmppdjlsK0l0cDQzTnRLZ0NEdHhHbWJQNStIS0N6Yz0
schooltype_iattc,Code list for types of schools used by IATTC,ird@ird.fr,paul.taconet@ird.fr;nvogel@iattc.org,paul.taconet@ird.fr;julien.barde@ird.fr;emmanuel.blondel@ird.fr,info@iattc.org,nvogel@iattc.org,ird@ird.fr,paul.taconet@ird.fr,,,Code list for types of schools used by the Inter-American Tropical Tuna Commission (IATTC). This code list was built using as input various IATTC public domain datasets.,,2017-03-01,,,,,,IATTC,"step1: The IATTC public domain catch-and-effort were downloaded.
step2: The codes and labels used for types of schools in these datasets were identified. A code list for types of school was reconstitued.
step3: The code list was integrated into the Sardara database",,schooltype.schooltype_iattc,http://data.d4science.org/bmt1ZXFRNDFwMGxoTmppdjlsK0l0cHpqeWVZMVdtRERHbWJQNStIS0N6Yz0
schooltype_iccat,Code list for types of schools used by ICCAT,ird@ird.fr,paul.taconet@ird.fr;carlos.palma@iccat.int,paul.taconet@ird.fr;julien.barde@ird.fr;emmanuel.blondel@ird.fr,info@iccat.int,carlos.palma@iccat.int,ird@ird.fr,paul.taconet@ird.fr,,,Code list for types of schools used by the International Commission for the Conservation of Atlantic Tunas (ICCAT). This code list was built using as input various ICCAT public domain datasets.,,2017-03-01,,,,,,ICCAT,"step1: The ICCAT public domain catch-and-effort by fishing mode (Task II catch/effort by operation mode [Fad/Free school] (only tropicals)) was downloaded.
step2: The codes and labels used for types of schools in these datasets were identified. A code list for types of school was reconstitued.
step3: The code list was integrated into the Sardara database",,schooltype.schooltype_iccat,http://data.d4science.org/N2VEc0d0ZzBxRUJoTmppdjlsK0l0bjZLVmxKd0lFM3pHbWJQNStIS0N6Yz0
schooltype_iotc,Code list for types of schools used by IOTC,ird@ird.fr,paul.taconet@ird.fr;fabio.fiorellato@iotc.org,paul.taconet@ird.fr;julien.barde@ird.fr;emmanuel.blondel@ird.fr,secretariat@iotc.org,fabio.fiorellato@iotc.org,ird@ird.fr,paul.taconet@ird.fr,,,Code list for types of schools used by the Indian Ocean Tuna Commission (IOTC). This code list was built using as input various IOTC public domain datasets.,,2017-03-01,,,,,,IOTC,"step1: The IOTC public domain datasets were collated.
step2: The codes and labels used for types of schools in these datasets were identified. A code list for types of schools was reconstitued.
step3: The code list was integrated into the Sardara database",,schooltype.schooltype_iotc,http://data.d4science.org/M1ZRd08vYUZKRXhoTmppdjlsK0l0ckRoSTJVblpiV0hHbWJQNStIS0N6Yz0
schooltype_rfmos,Code list for types of schools used in the IRD Tuna Atlas,ird@ird.fr,paul.taconet@ird.fr,paul.taconet@ird.fr;julien.barde@ird.fr;emmanuel.blondel@ird.fr,paul.taconet@ird.fr,emmanuel.chassot@ird.fr,ird@ird.fr,paul.taconet@ird.fr,,,Code list for types of schools used in the French National Research Institute for Sustainable Development (IRD) global Tuna Atlas.,,2016-03-11,,,,,,IRD,"step1: The code lists used by the five tuna RFMOs for types of schools were collated.
step2: Based on these code lists, a single code list gathering all the types of schools used by the tuna RFMOs was created.
step3: The code list was integrated into the Sardara database.",,schooltype.schooltype_rfmos,http://data.d4science.org/T0tJck5BWWtVWHhoTmppdjlsK0l0cnU5ak1JL3dVR1hHbWJQNStIS0N6Yz0
schooltype_wcpfc,Code list for types of schools used by WCPFC,ird@ird.fr,paul.taconet@ird.fr;PeterW@spc.int,paul.taconet@ird.fr;julien.barde@ird.fr;emmanuel.blondel@ird.fr,wcpfc@wcpfc.int,PeterW@spc.int,ird@ird.fr,paul.taconet@ird.fr,,,Code list for units of efforts used by the Western and Central Pacific Fisheries Commission (WCPFC). This code list was built using as input various WCPFC public domain datasets.,,2017-03-01,,,https://www.wcpfc.int/doc/purse-seine-data-grouped-5x5-and-month,,,WCPFC,"step1: The WCPFC public domain datasets were collated.
step2: The codes and labels used for types of schools in these datasets were identified. A code list for types of schools was reconstitued.
step3: The code list was integrated into the Sardara database",,schooltype.schooltype_wcpfc,http://data.d4science.org/SE9jOGJaSmpiNFZoTmppdjlsK0l0bTZ4djlGai9lbjBHbWJQNStIS0N6Yz0
sex_rfmos,Codes used for sex of the fishes used in the IRD Tuna Atlas,ird@ird.fr,paul.taconet@ird.fr,paul.taconet@ird.fr;julien.barde@ird.fr;emmanuel.blondel@ird.fr,paul.taconet@ird.fr,emmanuel.chassot@ird.fr,ird@ird.fr,paul.taconet@ird.fr,,,Code list for sex of the fishes used in the French National Research Institute for Sustainable Development (IRD) global Tuna Atlas.,,2016-06-15,,,,,,IRD,"step1: The code lists (if any) used by the five tuna RFMOs for sex of the fishes were collated. This dimension is used in the catch-at-size datasets.
step2: Based on these code lists, a single code list gathering the unique combination of the sex of the fishes used by the tuna RFMOs was created.
step3: The code list was integrated into the Sardara database.",,sex.sex_rfmos,http://data.d4science.org/WGlueENZWWFoSnBoTmppdjlsK0l0cWdyVXMwOVlRMnhHbWJQNStIS0N6Yz0
species_asfis,ASFIS List of Species for Fishery Statistics Purposes,FAO-HQ@fao.org,luca.garibaldi@fao.org,paul.taconet@ird.fr;julien.barde@ird.fr;emmanuel.blondel@ird.fr,luca.garibaldi@fao.org,luca.garibaldi@fao.org,luca.garibaldi@fao.org,paul.taconet@ird.fr,,,"The FAO Fisheries and Aquaculture Statistics and Information Branch (FIAS) collates world capture and aquaculture production statistics at either the species, genus, family or higher taxonomic levels in 2 269 statistical categories (2015 data) referred to as species items.

ASFIS list of species includes 12 721 species items selected according to their interest or relation to fisheries and aquaculture. For each species item stored in a record, codes (ISSCAAP group, taxonomic and 3-alpha) and taxonomic information (scientific name, author(s), family, and higher taxonomic classification) are provided. An English name is available for most of the records, and about one third of them have also a French and Spanish name. Information is also provided about the availability of fishery production statistics on the species item in the FAO databases.",,2016-03-10,,,http://www.fao.org/fishery/collection/asfis/en,,,FAO,"step1: The code list was downloaded on the 2016-03-10 at this url: http://www.fao.org/fishery/static/ASFIS/ASFIS_sp.zip reached through this web page: http://www.fao.org/fishery/collection/asfis/en
step2: The code list was transformed in CSV format.
step3: The code list was integrated into the Sardara database.",,species.species_asfis,http://data.d4science.org/NkFHS1BpcndHWEJoTmppdjlsK0l0bHBoRzNUOTBobG1HbWJQNStIS0N6Yz0
species_ccsbt,Code list for species used by CCSBT,ird@ird.fr,paul.taconet@ird.fr;CMillar@ccsbt.org,paul.taconet@ird.fr;julien.barde@ird.fr;emmanuel.blondel@ird.fr,CMillar@ccsbt.org,CMillar@ccsbt.org,ird@ird.fr,paul.taconet@ird.fr,,,Code list for species used by the Commission for the Conservation of Southern Bluefin Tuna (CCSBT). This code list was built using as input various CCSBT public domain datasets.,,2017-05-09,,,,,,CCSBT,"step1: The CCSBT public domain datasets were collated.
step2: The codes and labels used for species in these datasets were identified. A code list for species was reconstitued.
step3: The code list was integrated into the Sardara database",,species.species_ccsbt,http://data.d4science.org/a1JqYUxpamJVS2xoTmppdjlsK0l0cityTTVlbG5oWFZHbWJQNStIS0N6Yz0
species_iattc,Code list for species used by IATTC,ird@ird.fr,paul.taconet@ird.fr;nvogel@iattc.org,paul.taconet@ird.fr;julien.barde@ird.fr;emmanuel.blondel@ird.fr,info@iattc.org,nvogel@iattc.org,ird@ird.fr,paul.taconet@ird.fr,,,Code list for species used by the Inter-American Tropical Tuna Commission (IATTC). This code list was built using as input both the code list available in the IATTC website and the IATTC public domain datasets.,,2016-03-10,,,http://www.iattc.org/Standard-Codes/StdSpeciesCodes1.htm,,,IATTC,"step1: The code list of species released by IATTC and available in the IATTC website at this url: http://www.iattc.org/Standard-Codes/StdSpeciesCodes1.htm was downloaded.
step2: Since the codes in this code list does not englobe all the codes for species used in the IATTC public domain datasets, the latter were collated.
step3: The codes and labels used for species in these datasets were identified. A code list for species was reconstitued.
step4: The code list was integrated into the Sardara database",,species.species_iattc,http://data.d4science.org/UC9mcEwrWnRjVzloTmppdjlsK0l0anVDdTh0Z3czQndHbWJQNStIS0N6Yz0
species_iccat,Code list for species used by ICCAT,ird@ird.fr,paul.taconet@ird.fr;carlos.palma@iccat.int,paul.taconet@ird.fr;julien.barde@ird.fr;emmanuel.blondel@ird.fr,info@iccat.int,carlos.palma@iccat.int,ird@ird.fr,paul.taconet@ird.fr,,,Code list for species used by the International Commission for the Conservation of Atlantic Tunas (ICCAT). This code list was built using as input both the code list available in the ICCAT website and the ICCAT public domain datasets.,,2016-03-10,,,https://www.iccat.int/en/Stat_Codes.htm,,,ICCAT,"step1: The code list of species released by ICCAT and available in the ICCAT website at this url: https://www.iccat.int/en/Stat_Codes.htm was downloaded.
step2: Since the codes in this code list does not englobe all the codes for species used in the ICCAT public domain datasets, the latter were collated.
step3: The codes and labels used for species in these datasets were identified. A code list for species was reconstitued.
step4: The code list was integrated into the Sardara database",,species.species_iccat,http://data.d4science.org/VTlUVlAzakIxREZoTmppdjlsK0l0djY5dWIzdTNJbEZHbWJQNStIS0N6Yz0
species_iotc,Code list for species used by IOTC,ird@ird.fr,paul.taconet@ird.fr;fabio.fiorellato@iotc.org,paul.taconet@ird.fr;julien.barde@ird.fr;emmanuel.blondel@ird.fr,secretariat@iotc.org,fabio.fiorellato@iotc.org,ird@ird.fr,paul.taconet@ird.fr,,,Code list for species used by the Indian Ocean Tuna Commission (IOTC). This code list was built using as input various IOTC public domain datasets.,,2016-03-10,,,,,,IOTC,"step1: The IOTC public domain datasets were collated.
step2: The codes and labels used for species in these datasets were identified. A code list for species was reconstitued.
step3: The code list was integrated into the Sardara database",,species.species_iotc,http://data.d4science.org/ZUxDRlhSRTFqekJoTmppdjlsK0l0Z3dGNWIzYkRxOWJHbWJQNStIS0N6Yz0
species_wcpfc,Code list for species used by WCPFC,ird@ird.fr,paul.taconet@ird.fr;PeterW@spc.int,paul.taconet@ird.fr;julien.barde@ird.fr;emmanuel.blondel@ird.fr,wcpfc@wcpfc.int,PeterW@spc.int,ird@ird.fr,paul.taconet@ird.fr,,,Code list for species used by the Western and Central Pacific Fisheries Commission (WCPFC). This code list was built using as input various WCPFC public domain datasets.,,2016-03-10,,,,,,WCPFC,"step1: The WCPFC public domain datasets were collated.
step2: The codes and labels used for species in these datasets were identified. A code list for species was reconstitued.
step3: The code list was integrated into the Sardara database",,species.species_wcpfc,http://data.d4science.org/T3FnZHBweElxRUJoTmppdjlsK0l0dTg2d05NZ2xXSzdHbWJQNStIS0N6Yz0
speciesgroup_tunaatlas,Code list for groups of species oriented for tuna fisheries used in the IRD Tuna Atlas,ird@ird.fr,paul.taconet@ird.fr;emmanuel.chassot@ird.fr;evgeny.romanov@ird.fr,paul.taconet@ird.fr;julien.barde@ird.fr;emmanuel.blondel@ird.fr,paul.taconet@ird.fr,emmanuel.chassot@ird.fr,ird@ird.fr,paul.taconet@ird.fr,,,Code list for groups of species oriented for tuna fisheries used in the French National Research Institute for Sustainable Development (IRD) global Tuna Atlas. This code list encompasses all the main groups of species for tuna fisheries.,,2016-05-31,,,,,,IRD,"step1: The groups of species were determined.
step2: The code list was integrated into the Sardara database.",,species.speciesgroup_tunaatlas,http://data.d4science.org/bmdpMFB2OWNodXRoTmppdjlsK0l0cnFOaWdGMldyZFdHbWJQNStIS0N6Yz0
