persistent_identifier,title,contact_owner,contact_originator,contact_metadata,contact_PointOfContact,contact_PrincipalInvestigator,contact_publisher,contact_processor,contact_data_structure_definition,subject,description,date_publication,date_download,format,langage,relation_source_download,relation_source_dataset,rights,source,lineage,supplemental_information,database_table_name,database_view_name,year_tuna_atlas,source_dataset_title,source_dataset_format,source_dataset_path_dataset,source_dataset_path_harmonization_script,source_dataset_path_csv_codelists
indian_ocean_effort_ll_tunaatlasIOTC_level0,"Monthly fishing effort targeting tuna, tuna-like and shark species in the Indian Ocean (%date_start%-%date_end%) by longliners aggregated by 5° squares (IOTC level 0)",,,,,,,,,,,,,,,,,,IOTC,"step1: The dataset was downloaded on the %date_download% at this URL: %relation_source_dataset% reached through this web page: %relation_source_download% 
step2: Through a dedicated R script, the dataset was restructured to be in line with the Tuna Atlas database structure (columns normalization, names, etc.). However the content of data and the code lists were kept exactly as their are available in the source dataset.
step3: The dataset was exported in CSV format.
step4: The CSV file was integrated into the Tuna Atlas database.",,fact_tables.effort,tunaatlas_iotc.ind_effort_ll_tunaatlasIOTC_level0,,,,,https://raw.githubusercontent.com/ptaconet/rtunaatlas_scripts/master/tunaatlas_world/transform/indian_ocean_effort_tunaatlasiotc_level0__coastal_longline.R,http://data.d4science.org/aEd2dCtWVDlWem1ZdFBua3lVbFNXR2t2T3hMekRRZGJHbWJQNStIS0N6Yz0
indian_ocean_catch_tunaatlasIOTC_level0__coastal,"Monthly catch of tuna, tuna-like and shark species in the Indian Ocean (%date_start%-%date_end%) by gillneters, lines and unclassifed gears aggregated by 1° or 5° squares (IOTC level 0)",,,,,,,,,,,,,,,,,,IOTC,"step1: The dataset was downloaded on the %date_download% at this URL: %relation_source_dataset% reached through this web page: %relation_source_download% 
step2: Through a dedicated R script, the dataset was restructured to be in line with the Tuna Atlas database structure (columns normalization, names, etc.). However the content of data and the code lists were kept exactly as their are available in the source dataset.
step3: The dataset was exported in CSV format.
step4: The CSV file was integrated into the Tuna Atlas database.",,fact_tables.catch,tunaatlas_iotc.ind_catch_tunaatlasIOTC_level0__coastal,,,,,https://raw.githubusercontent.com/ptaconet/rtunaatlas_scripts/master/tunaatlas_world/transform/indian_ocean_catch_tunaatlasiotc_level0__coastal_longline.R,http://data.d4science.org/VHFWeVBqQ3FIeDZZdFBua3lVbFNXSjNuMHJuamFNWWxHbWJQNStIS0N6Yz0
indian_ocean_effort_tunaatlasIOTC_level0__coastal,"Monthly fishing effort targeting tuna, tuna-like and shark species in the Indian Ocean (%date_start%-%date_end%) by gillneters, lines and unclassifed gears aggregated by 1° or 5° squares (IOTC level 0)",,,,,,,,,,,,,,,,,,IOTC,"step1: The dataset was downloaded on the %date_download% at this URL: %relation_source_dataset% reached through this web page: %relation_source_download% 
step2: Through a dedicated R script, the dataset was restructured to be in line with the Tuna Atlas database structure (columns normalization, names, etc.). However the content of data and the code lists were kept exactly as their are available in the source dataset.
step3: The dataset was exported in CSV format.
step4: The CSV file was integrated into the Tuna Atlas database.",,fact_tables.effort,tunaatlas_iotc.ind_effort_tunaatlasIOTC_level0__coastal,,,,,https://raw.githubusercontent.com/ptaconet/rtunaatlas_scripts/master/tunaatlas_world/transform/indian_ocean_effort_tunaatlasiotc_level0__coastal_longline.R,http://data.d4science.org/aEd2dCtWVDlWem1ZdFBua3lVbFNXR2t2T3hMekRRZGJHbWJQNStIS0N6Yz0
indian_ocean_catch_tunaatlasIOTC_level0__surface,"Monthly catch of tuna, tuna-like and shark species in the Indian Ocean (%date_start%-%date_end%) by surface fisheries gears aggregated by 1° squares (IOTC level 0)",,,,,,,,,,,,,,,,,,IOTC,"step1: The dataset was downloaded on the %date_download% at this URL: %relation_source_dataset% reached through this web page: %relation_source_download% 
step2: Through a dedicated R script, the dataset was restructured to be in line with the Tuna Atlas database structure (columns normalization, names, etc.). However the content of data and the code lists were kept exactly as their are available in the source dataset.
step3: The dataset was exported in CSV format.
step4: The CSV file was integrated into the Tuna Atlas database.",,fact_tables.catch,tunaatlas_iotc.ind_catch_tunaatlasIOTC_level0__surface,,,,,https://raw.githubusercontent.com/ptaconet/rtunaatlas_scripts/master/tunaatlas_world/transform/indian_ocean_catch_tunaatlasiotc_level0__surface.R,http://data.d4science.org/VHFWeVBqQ3FIeDZZdFBua3lVbFNXSjNuMHJuamFNWWxHbWJQNStIS0N6Yz0
indian_ocean_effort_tunaatlasIOTC_level0__surface,"Monthly fishing effort targeting tuna, tuna-like and shark species in the Indian Ocean (%date_start%-%date_end%) by surface fisheries gears aggregated by 1° squares (IOTC level 0)",,,,,,,,,,,,,,,,,,IOTC,"step1: The dataset was downloaded on the %date_download% at this URL: %relation_source_dataset% reached through this web page: %relation_source_download% 
step2: Through a dedicated R script, the dataset was restructured to be in line with the Tuna Atlas database structure (columns normalization, names, etc.). However the content of data and the code lists were kept exactly as their are available in the source dataset.
step3: The dataset was exported in CSV format.
step4: The CSV file was integrated into the Tuna Atlas database.",,fact_tables.effort,tunaatlas_iotc.ind_effort_tunaatlasIOTC_level0__surface,,,,,https://raw.githubusercontent.com/ptaconet/rtunaatlas_scripts/master/tunaatlas_world/transform/indian_ocean_effort_tunaatlasiotc_level0__surface.R,http://data.d4science.org/aEd2dCtWVDlWem1ZdFBua3lVbFNXR2t2T3hMekRRZGJHbWJQNStIS0N6Yz0
indian_ocean_nominal_catch_tunaatlasIOTC_level0,"Annual catch of tuna, tuna-like and shark species in the Indian Ocean (%date_start%-%date_end%) aggregated by FAO zone (IOTC level 0)",,,,,,,,,,,,,,,,,,IOTC,"step1: The dataset was downloaded on the %date_download% at this URL: %relation_source_dataset% reached through this web page: %relation_source_download% 
step2: Through a dedicated R script, the dataset was restructured to be in line with the Tuna Atlas database structure (columns normalization, names, etc.). However the content of data and the code lists were kept exactly as their are available in the source dataset.
step3: The dataset was exported in CSV format.
step4: The CSV file was integrated into the Tuna Atlas database.",,fact_tables.catch,tunaatlas_iotc.ind_nominal_catch_tunaatlasIOTC_level0,,,,,https://raw.githubusercontent.com/ptaconet/rtunaatlas_scripts/master/tunaatlas_world/transform/indian_ocean_nominal_catch_tunaatlasiotc_level0.R,http://data.d4science.org/NUNrRTdxZ1FWS1dZdFBua3lVbFNXRUhWdHJGeFAxMytHbWJQNStIS0N6Yz0
southern_hemisphere_oceans_catch_1deg_1m_tunaatlasCCSBT_level0__surface,Monthly catch of Southern Bluefin Tuna in the Southern hemisphere oceans (%date_start%-%date_end%) by surface fisheries gears aggregated by 1° squares (CCSBT level 0),,,,,,,,,,,,,,,,,,CCSBT,"step1: The dataset was downloaded on the %date_download% at this URL: %relation_source_dataset% reached through this web page: %relation_source_download% 
step2: Through a dedicated R script, the dataset was restructured to be in line with the Tuna Atlas database structure (columns normalization, names, etc.). However the content of data and the code lists were kept exactly as their are available in the source dataset.
step3: The dataset was exported in CSV format.
step4: The CSV file was integrated into the Tuna Atlas database.",,fact_tables.catch,tunaatlas_ccsbt.south_hemisphere_catch_1deg_1m_tunaatlasCCSBT_level0__surface,,,,,https://raw.githubusercontent.com/ptaconet/rtunaatlas_scripts/master/tunaatlas_world/transform/southern_hemisphere_oceans_catch_1deg_1m_tunaatlasccsbt_level0__surface.R,http://data.d4science.org/VE96amI2MFFYaENZdFBua3lVbFNXTk4zNmxTUjFZcU5HbWJQNStIS0N6Yz0
southern_hemisphere_oceans_effort_1deg_1m_tunaatlasCCSBT_level0__surface,Monthly fishing effort targetting Southern Bluefin Tuna in the Southern hemisphere oceans (%date_start%-%date_end%) by surface fisheries gears aggregated by 1° squares (CCSBT level 0),,,,,,,,,,,,,,,,,,CCSBT,"step1: The dataset was downloaded on the %date_download% at this URL: %relation_source_dataset% reached through this web page: %relation_source_download% 
step2: Through a dedicated R script, the dataset was restructured to be in line with the Tuna Atlas database structure (columns normalization, names, etc.). However the content of data and the code lists were kept exactly as their are available in the source dataset.
step3: The dataset was exported in CSV format.
step4: The CSV file was integrated into the Tuna Atlas database.",,fact_tables.effort,tunaatlas_ccsbt.south_hemisphere_effort_1deg_1m_tunaatlasCCSBT_level0__surface,,,,,https://raw.githubusercontent.com/ptaconet/rtunaatlas_scripts/master/tunaatlas_world/transform/southern_hemisphere_oceans_effort_1deg_1m_tunaatlasccsbt_level0__surface.R,http://data.d4science.org/NTE5Nm5XcmlIUmFZdFBua3lVbFNXSUVrLzMwekljMDNHbWJQNStIS0N6Yz0
southern_hemisphere_oceans_catch_5deg_1m_ll_tunaatlasCCSBT_level0,Monthly catch of Southern Bluefin Tuna in the Southern hemisphere oceans (%date_start%-%date_end%) by longliners aggregated by 5° squares (CCSBT level 0),,,,,,,,,,,,,,,,,,CCSBT,"step1: The dataset was downloaded on the %date_download% at this URL: %relation_source_dataset% reached through this web page: %relation_source_download% 
step2: Through a dedicated R script, the dataset was restructured to be in line with the Tuna Atlas database structure (columns normalization, names, etc.). However the content of data and the code lists were kept exactly as their are available in the source dataset.
step3: The dataset was exported in CSV format.
step4: The CSV file was integrated into the Tuna Atlas database.",,fact_tables.catch,tunaatlas_ccsbt.south_hemisphere_catch_5deg_1m_ll_tunaatlasCCSBT_level0,,,,,https://raw.githubusercontent.com/ptaconet/rtunaatlas_scripts/master/tunaatlas_world/transform/southern_hemisphere_oceans_catch_5deg_1m_ll_tunaatlasccsbt_level0.R,http://data.d4science.org/VE96amI2MFFYaENZdFBua3lVbFNXTk4zNmxTUjFZcU5HbWJQNStIS0N6Yz0
southern_hemisphere_oceans_effort_5deg_1m_ll_tunaatlasCCSBT_level0,Monthly fishing effort targetting Southern Bluefin Tuna in the Southern hemisphere oceans (%date_start%-%date_end%) by longliners aggregated by 5° squares (CCSBT level 0),,,,,,,,,,,,,,,,,,CCSBT,"step1: The dataset was downloaded on the %date_download% at this URL: %relation_source_dataset% reached through this web page: %relation_source_download% 
step2: Through a dedicated R script, the dataset was restructured to be in line with the Tuna Atlas database structure (columns normalization, names, etc.). However the content of data and the code lists were kept exactly as their are available in the source dataset.
step3: The dataset was exported in CSV format.
step4: The CSV file was integrated into the Tuna Atlas database.",,fact_tables.effort,tunaatlas_ccsbt.south_hemisphere_effort_5deg_1m_ll_tunaatlasCCSBT_level0,,,,,https://raw.githubusercontent.com/ptaconet/rtunaatlas_scripts/master/tunaatlas_world/transform/southern_hemisphere_oceans_effort_5deg_1m_ll_tunaatlasccsbt_level0.R,http://data.d4science.org/NTE5Nm5XcmlIUmFZdFBua3lVbFNXSUVrLzMwekljMDNHbWJQNStIS0N6Yz0
southern_hemisphere_oceans_nominal_catch_tunaatlasCCSBT_level0__byGear,Annual catch of Southern Bluefin Tuna in the Southern hemisphere oceans (%date_start%-%date_end%) (CCSBT level 0),,,,,,,,,,,,,,,,,,CCSBT,"step1: The dataset was downloaded on the %date_download% at this URL: %relation_source_dataset% reached through this web page: %relation_source_download% 
step2: Through a dedicated R script, the dataset was restructured to be in line with the Tuna Atlas database structure (columns normalization, names, etc.). However the content of data and the code lists were kept exactly as their are available in the source dataset.
step3: The dataset was exported in CSV format.
step4: The CSV file was integrated into the Tuna Atlas database.",,fact_tables.catch,tunaatlas_ccsbt.south_hemisphere_nominal_catch_tunaatlasCCSBT_level0__byGear,,,,,https://raw.githubusercontent.com/ptaconet/rtunaatlas_scripts/master/tunaatlas_world/transform/southern_hemisphere_oceans_nominal_catch_tunaatlasccsbt_level0__bygear.R,http://data.d4science.org/NXh0RTlVYVBSUldZdFBua3lVbFNXSHltUUcwSTM3U3NHbWJQNStIS0N6Yz0
west_pacific_ocean_catch_5deg_1m_bb_tunaatlasWCPFC_level0,Monthly catch of tuna and tuna-like species in the West Pacific Ocean (%date_start%-%date_end%) by pole-and-liners aggregated by 5° squares (WCPFC level 0),,,,,,,,,,,,,,,,,,WCPFC,"step1: The dataset was downloaded on the %date_download% at this URL: %relation_source_dataset% reached through this web page: %relation_source_download% 
step2: Through a dedicated R script, the dataset was restructured to be in line with the Tuna Atlas database structure (columns normalization, names, etc.). However the content of data and the code lists were kept exactly as their are available in the source dataset.
step3: The dataset was exported in CSV format.
step4: The CSV file was integrated into the Tuna Atlas database.",,fact_tables.catch,tunaatlas_wcpfc.wpo_catch_5deg_1m_bb_tunaatlasWCPFC_level0,,,,,https://raw.githubusercontent.com/ptaconet/rtunaatlas_scripts/master/tunaatlas_world/transform/west_pacific_ocean_catch_5deg_1m_bb_tunaatlaswcpfc_level0.R,http://data.d4science.org/akxZK2QvNFNTTm1ZdFBua3lVbFNXTW1TaHNva3ZnTytHbWJQNStIS0N6Yz0
west_pacific_ocean_effort_5deg_1m_bb_tunaatlasWCPFC_level0,Monthly fishing effort targeting tuna and tuna-like species in the West Pacific Ocean (%date_start%-%date_end%) by pole-and-liners aggregated by 5° squares (WCPFC level 0),,,,,,,,,,,,,,,,,,WCPFC,"step1: The dataset was downloaded on the %date_download% at this URL: %relation_source_dataset% reached through this web page: %relation_source_download% 
step2: Through a dedicated R script, the dataset was restructured to be in line with the Tuna Atlas database structure (columns normalization, names, etc.). However the content of data and the code lists were kept exactly as their are available in the source dataset.
step3: The dataset was exported in CSV format.
step4: The CSV file was integrated into the Tuna Atlas database.",,fact_tables.effort,tunaatlas_wcpfc.wpo_effort_5deg_1m_bb_tunaatlasWCPFC_level0,,,,,https://raw.githubusercontent.com/ptaconet/rtunaatlas_scripts/master/tunaatlas_world/transform/west_pacific_ocean_effort_5deg_1m_bb_tunaatlaswcpfc_level0.R,http://data.d4science.org/dS9lbHBZd2QvaEdZdFBua3lVbFNXRjljSlhQSmIwd2tHbWJQNStIS0N6Yz0
west_pacific_ocean_catch_5deg_1m_ll_tunaatlasWCPFC_level0__1950to1970,Monthly catch of tuna and tuna-like species in the West Pacific Ocean (%date_start%-%date_end%) by longliners aggregated by 5° squares (WCPFC level 0),,,,,,,,,,,,,,,,,,WCPFC,"step1: The dataset was downloaded on the %date_download% at this URL: %relation_source_dataset% reached through this web page: %relation_source_download% 
step2: Through a dedicated R script, the dataset was restructured to be in line with the Tuna Atlas database structure (columns normalization, names, etc.). However the content of data and the code lists were kept exactly as their are available in the source dataset.
step3: The dataset was exported in CSV format.
step4: The CSV file was integrated into the Tuna Atlas database.",,fact_tables.catch,tunaatlas_wcpfc.wpo_catch_5deg_1m_ll_tunaatlasWCPFC_level0__1950to1970,,,,,https://raw.githubusercontent.com/ptaconet/rtunaatlas_scripts/master/tunaatlas_world/transform/west_pacific_ocean_catch_5deg_1m_ll_tunaatlaswcpfc_level0.R,http://data.d4science.org/akxZK2QvNFNTTm1ZdFBua3lVbFNXTW1TaHNva3ZnTytHbWJQNStIS0N6Yz0
west_pacific_ocean_effort_5deg_1m_ll_tunaatlasWCPFC_level0__1950to1970,Monthly fishing effort targeting tuna and tuna-like species in the West Pacific Ocean (%date_start%-%date_end%) by longliners aggregated by 5° squares (WCPFC level 0),,,,,,,,,,,,,,,,,,WCPFC,"step1: The dataset was downloaded on the %date_download% at this URL: %relation_source_dataset% reached through this web page: %relation_source_download% 
step2: Through a dedicated R script, the dataset was restructured to be in line with the Tuna Atlas database structure (columns normalization, names, etc.). However the content of data and the code lists were kept exactly as their are available in the source dataset.
step3: The dataset was exported in CSV format.
step4: The CSV file was integrated into the Tuna Atlas database.",,fact_tables.effort,tunaatlas_wcpfc.wpo_effort_5deg_1m_ll_tunaatlasWCPFC_level0__1950to1970,,,,,https://raw.githubusercontent.com/ptaconet/rtunaatlas_scripts/master/tunaatlas_world/transform/west_pacific_ocean_effort_5deg_1m_ll_tunaatlaswcpfc_level0.R,http://data.d4science.org/dS9lbHBZd2QvaEdZdFBua3lVbFNXRjljSlhQSmIwd2tHbWJQNStIS0N6Yz0
west_pacific_ocean_catch_5deg_1m_ll_tunaatlasWCPFC_level0__1970to1980,Monthly catch of tuna and tuna-like species in the West Pacific Ocean (%date_start%-%date_end%) by longliners aggregated by 5° squares (WCPFC level 0),,,,,,,,,,,,,,,,,,WCPFC,"step1: The dataset was downloaded on the %date_download% at this URL: %relation_source_dataset% reached through this web page: %relation_source_download% 
step2: Through a dedicated R script, the dataset was restructured to be in line with the Tuna Atlas database structure (columns normalization, names, etc.). However the content of data and the code lists were kept exactly as their are available in the source dataset.
step3: The dataset was exported in CSV format.
step4: The CSV file was integrated into the Tuna Atlas database.",,fact_tables.catch,tunaatlas_wcpfc.wpo_catch_5deg_1m_ll_tunaatlasWCPFC_level0__1970to1980,,,,,https://raw.githubusercontent.com/ptaconet/rtunaatlas_scripts/master/tunaatlas_world/transform/west_pacific_ocean_catch_5deg_1m_ll_tunaatlaswcpfc_level0.R,http://data.d4science.org/akxZK2QvNFNTTm1ZdFBua3lVbFNXTW1TaHNva3ZnTytHbWJQNStIS0N6Yz0
west_pacific_ocean_effort_5deg_1m_ll_tunaatlasWCPFC_level0__1970to1980,Monthly fishing effort targeting tuna and tuna-like species in the West Pacific Ocean (%date_start%-%date_end%) by longliners aggregated by 5° squares (WCPFC level 0),,,,,,,,,,,,,,,,,,WCPFC,"step1: The dataset was downloaded on the %date_download% at this URL: %relation_source_dataset% reached through this web page: %relation_source_download% 
step2: Through a dedicated R script, the dataset was restructured to be in line with the Tuna Atlas database structure (columns normalization, names, etc.). However the content of data and the code lists were kept exactly as their are available in the source dataset.
step3: The dataset was exported in CSV format.
step4: The CSV file was integrated into the Tuna Atlas database.",,fact_tables.effort,tunaatlas_wcpfc.wpo_effort_5deg_1m_ll_tunaatlasWCPFC_level0__1970to1980,,,,,https://raw.githubusercontent.com/ptaconet/rtunaatlas_scripts/master/tunaatlas_world/transform/west_pacific_ocean_effort_5deg_1m_ll_tunaatlaswcpfc_level0.R,http://data.d4science.org/dS9lbHBZd2QvaEdZdFBua3lVbFNXRjljSlhQSmIwd2tHbWJQNStIS0N6Yz0
west_pacific_ocean_catch_5deg_1m_ll_tunaatlasWCPFC_level0__1980to1990,Monthly catch of tuna and tuna-like species in the West Pacific Ocean (%date_start%-%date_end%) by longliners aggregated by 5° squares (WCPFC level 0),,,,,,,,,,,,,,,,,,WCPFC,"step1: The dataset was downloaded on the %date_download% at this URL: %relation_source_dataset% reached through this web page: %relation_source_download% 
step2: Through a dedicated R script, the dataset was restructured to be in line with the Tuna Atlas database structure (columns normalization, names, etc.). However the content of data and the code lists were kept exactly as their are available in the source dataset.
step3: The dataset was exported in CSV format.
step4: The CSV file was integrated into the Tuna Atlas database.",,fact_tables.catch,tunaatlas_wcpfc.wpo_catch_5deg_1m_ll_tunaatlasWCPFC_level0__1980to1990,,,,,https://raw.githubusercontent.com/ptaconet/rtunaatlas_scripts/master/tunaatlas_world/transform/west_pacific_ocean_catch_5deg_1m_ll_tunaatlaswcpfc_level0.R,http://data.d4science.org/akxZK2QvNFNTTm1ZdFBua3lVbFNXTW1TaHNva3ZnTytHbWJQNStIS0N6Yz0
west_pacific_ocean_effort_5deg_1m_ll_tunaatlasWCPFC_level0__1980to1990,Monthly fishing effort targeting tuna and tuna-like species in the West Pacific Ocean (%date_start%-%date_end%) by longliners aggregated by 5° squares (WCPFC level 0),,,,,,,,,,,,,,,,,,WCPFC,"step1: The dataset was downloaded on the %date_download% at this URL: %relation_source_dataset% reached through this web page: %relation_source_download% 
step2: Through a dedicated R script, the dataset was restructured to be in line with the Tuna Atlas database structure (columns normalization, names, etc.). However the content of data and the code lists were kept exactly as their are available in the source dataset.
step3: The dataset was exported in CSV format.
step4: The CSV file was integrated into the Tuna Atlas database.",,fact_tables.effort,tunaatlas_wcpfc.wpo_effort_5deg_1m_ll_tunaatlasWCPFC_level0__1980to1990,,,,,https://raw.githubusercontent.com/ptaconet/rtunaatlas_scripts/master/tunaatlas_world/transform/west_pacific_ocean_effort_5deg_1m_ll_tunaatlaswcpfc_level0.R,http://data.d4science.org/dS9lbHBZd2QvaEdZdFBua3lVbFNXRjljSlhQSmIwd2tHbWJQNStIS0N6Yz0
west_pacific_ocean_catch_5deg_1m_ll_tunaatlasWCPFC_level0__1990to2000,Monthly catch of tuna and tuna-like species in the West Pacific Ocean (%date_start%-%date_end%) by longliners aggregated by 5° squares (WCPFC level 0),,,,,,,,,,,,,,,,,,WCPFC,"step1: The dataset was downloaded on the %date_download% at this URL: %relation_source_dataset% reached through this web page: %relation_source_download% 
step2: Through a dedicated R script, the dataset was restructured to be in line with the Tuna Atlas database structure (columns normalization, names, etc.). However the content of data and the code lists were kept exactly as their are available in the source dataset.
step3: The dataset was exported in CSV format.
step4: The CSV file was integrated into the Tuna Atlas database.",,fact_tables.catch,tunaatlas_wcpfc.wpo_catch_5deg_1m_tunaatlasWCPFC_level0__ll_1990to2000,,,,,https://raw.githubusercontent.com/ptaconet/rtunaatlas_scripts/master/tunaatlas_world/transform/west_pacific_ocean_catch_5deg_1m_ll_tunaatlaswcpfc_level0.R,http://data.d4science.org/akxZK2QvNFNTTm1ZdFBua3lVbFNXTW1TaHNva3ZnTytHbWJQNStIS0N6Yz0
west_pacific_ocean_effort_5deg_1m_ll_tunaatlasWCPFC_level0__1990to2000,Monthly fishing effort targeting tuna and tuna-like species in the West Pacific Ocean (%date_start%-%date_end%) by longliners aggregated by 5° squares (WCPFC level 0),,,,,,,,,,,,,,,,,,WCPFC,"step1: The dataset was downloaded on the %date_download% at this URL: %relation_source_dataset% reached through this web page: %relation_source_download% 
step2: Through a dedicated R script, the dataset was restructured to be in line with the Tuna Atlas database structure (columns normalization, names, etc.). However the content of data and the code lists were kept exactly as their are available in the source dataset.
step3: The dataset was exported in CSV format.
step4: The CSV file was integrated into the Tuna Atlas database.",,fact_tables.effort,tunaatlas_wcpfc.wpo_effort_5deg_1m_tunaatlasWCPFC_level0__ll_1990to2000,,,,,https://raw.githubusercontent.com/ptaconet/rtunaatlas_scripts/master/tunaatlas_world/transform/west_pacific_ocean_effort_5deg_1m_ll_tunaatlaswcpfc_level0.R,http://data.d4science.org/dS9lbHBZd2QvaEdZdFBua3lVbFNXRjljSlhQSmIwd2tHbWJQNStIS0N6Yz0
west_pacific_ocean_catch_5deg_1m_ll_tunaatlasWCPFC_level0__2000,Monthly catch of tuna and tuna-like species in the West Pacific Ocean (%date_start%-%date_end%) by longliners aggregated by 5° squares (WCPFC level 0),,,,,,,,,,,,,,,,,,WCPFC,"step1: The dataset was downloaded on the %date_download% at this URL: %relation_source_dataset% reached through this web page: %relation_source_download% 
step2: Through a dedicated R script, the dataset was restructured to be in line with the Tuna Atlas database structure (columns normalization, names, etc.). However the content of data and the code lists were kept exactly as their are available in the source dataset.
step3: The dataset was exported in CSV format.
step4: The CSV file was integrated into the Tuna Atlas database.",,fact_tables.catch,tunaatlas_wcpfc.wpo_catch_5deg_1m_ll_tunaatlasWCPFC_level0__2000,,,,,https://raw.githubusercontent.com/ptaconet/rtunaatlas_scripts/master/tunaatlas_world/transform/west_pacific_ocean_catch_5deg_1m_ll_tunaatlaswcpfc_level0.R,http://data.d4science.org/akxZK2QvNFNTTm1ZdFBua3lVbFNXTW1TaHNva3ZnTytHbWJQNStIS0N6Yz0
west_pacific_ocean_effort_5deg_1m_ll_tunaatlasWCPFC_level0__2000,Monthly fishing effort targeting tuna and tuna-like species in the West Pacific Ocean (%date_start%-%date_end%) by longliners aggregated by 5° squares (WCPFC level 0),,,,,,,,,,,,,,,,,,WCPFC,"step1: The dataset was downloaded on the %date_download% at this URL: %relation_source_dataset% reached through this web page: %relation_source_download% 
step2: Through a dedicated R script, the dataset was restructured to be in line with the Tuna Atlas database structure (columns normalization, names, etc.). However the content of data and the code lists were kept exactly as their are available in the source dataset.
step3: The dataset was exported in CSV format.
step4: The CSV file was integrated into the Tuna Atlas database.",,fact_tables.effort,tunaatlas_wcpfc.wpo_effort_5deg_1m_ll_tunaatlasWCPFC_level0__2000,,,,,https://raw.githubusercontent.com/ptaconet/rtunaatlas_scripts/master/tunaatlas_world/transform/west_pacific_ocean_effort_5deg_1m_ll_tunaatlaswcpfc_level0.R,http://data.d4science.org/dS9lbHBZd2QvaEdZdFBua3lVbFNXRjljSlhQSmIwd2tHbWJQNStIS0N6Yz0
west_pacific_ocean_catch_5deg_1m_ps_tunaatlasWCPFC_level0,Monthly catch of tuna and tuna-like species in the West Pacific Ocean (%date_start%-%date_end%) by purse seiners aggregated by 5° squares (WCPFC level 0),,,,,,,,,,,,,,,,,,WCPFC,"step1: The dataset was downloaded on the %date_download% at this URL: %relation_source_dataset% reached through this web page: %relation_source_download% 
step2: Through a dedicated R script, the dataset was restructured to be in line with the Tuna Atlas database structure (columns normalization, names, etc.). However the content of data and the code lists were kept exactly as their are available in the source dataset.
step3: The dataset was exported in CSV format.
step4: The CSV file was integrated into the Tuna Atlas database.",,fact_tables.catch,tunaatlas_wcpfc.wpo_catch_5deg_1m_ps_tunaatlasWCPFC_level0,,,,,https://raw.githubusercontent.com/ptaconet/rtunaatlas_scripts/master/tunaatlas_world/transform/west_pacific_ocean_catch_5deg_1m_ps_tunaatlaswcpfc_level0.R,http://data.d4science.org/akxZK2QvNFNTTm1ZdFBua3lVbFNXTW1TaHNva3ZnTytHbWJQNStIS0N6Yz0
west_pacific_ocean_effort_5deg_1m_ps_tunaatlasWCPFC_level0,Monthly fishing effort targeting tuna and tuna-like species in the West Pacific Ocean (%date_start%-%date_end%) by purse seiners aggregated by 5° squares (WCPFC level 0),,,,,,,,,,,,,,,,,,WCPFC,"step1: The dataset was downloaded on the %date_download% at this URL: %relation_source_dataset% reached through this web page: %relation_source_download% 
step2: Through a dedicated R script, the dataset was restructured to be in line with the Tuna Atlas database structure (columns normalization, names, etc.). However the content of data and the code lists were kept exactly as their are available in the source dataset.
step3: The dataset was exported in CSV format.
step4: The CSV file was integrated into the Tuna Atlas database.",,fact_tables.effort,tunaatlas_wcpfc.wpo_effort_5deg_1m_ps_tunaatlasWCPFC_level0,,,,,https://raw.githubusercontent.com/ptaconet/rtunaatlas_scripts/master/tunaatlas_world/transform/west_pacific_ocean_effort_5deg_1m_ps_tunaatlaswcpfc_level0.R,http://data.d4science.org/dS9lbHBZd2QvaEdZdFBua3lVbFNXRjljSlhQSmIwd2tHbWJQNStIS0N6Yz0
west_pacific_ocean_catch_5deg_1m_tunaatlasWCPFC_level0__driftnet,Monthly catch of tuna and tuna-like species in the West Pacific Ocean (%date_start%-%date_end%) by driftnets aggregated by 5° squares (WCPFC level 0),,,,,,,,,,,,,,,,,,WCPFC,"step1: The dataset was downloaded on the %date_download% at this URL: %relation_source_dataset% reached through this web page: %relation_source_download% 
step2: Through a dedicated R script, the dataset was restructured to be in line with the Tuna Atlas database structure (columns normalization, names, etc.). However the content of data and the code lists were kept exactly as their are available in the source dataset.
step3: The dataset was exported in CSV format.
step4: The CSV file was integrated into the Tuna Atlas database.",,fact_tables.catch,tunaatlas_wcpfc.wpo_catch_5deg_1m_tunaatlasWCPFC_level0__driftnet,,,,,https://raw.githubusercontent.com/ptaconet/rtunaatlas_scripts/master/tunaatlas_world/transform/west_pacific_ocean_catch_5deg_1m_tunaatlaswcpfc_level0__driftnet.R,http://data.d4science.org/akxZK2QvNFNTTm1ZdFBua3lVbFNXTW1TaHNva3ZnTytHbWJQNStIS0N6Yz0
