persistent_identifier,dataset_type,title,contact_owner,contact_originator,contact_metadata,contact_PointOfContact,contact_PrincipalInvestigator,contact_publisher,contact_processor,contact_data_structure_definition,subject,description,date_publication,date_download,format,langage,relation_source_download,relation_source_dataset,rights,source,lineage,supplemental_information,database_table_name,database_view_name,path_to_dataset,path_to_parameterization_file_to_generate_dataset,path_to_codelists_used_in_dataset
codelist_mapping_flag_iattc_flag_fao_cwp,mapping,Code list mapping: flags used by IATTC to ISO countries or areas codes,ird@ird.fr,paul.taconet@ird.fr,paul.taconet@ird.fr;julien.barde@ird.fr;emmanuel.blondel@ird.fr,paul.taconet@ird.fr,emmanuel.chassot@ird.fr,ird@ird.fr,paul.taconet@ird.fr,,,Mapping (i.e. correspondance) between codes for flags used by the Inter-American Tropical Tuna Commission (IATTC) and 3-alpha country or area code of the International Organization for Standardization (ISO). This mapping was realized by IRD.,,2016-03-14,,,,,,IATTC,"step1: Codes from source and target code lists were matched.
step2: The resulting CSV file of mapping was integrated into the Sardara database.",,flag.flag_mapping,NA,http://data.d4science.org/R1JRSlBqU25hQWhrd05NNWIrSFpaREc3UW5aNXpMR3RHbWJQNStIS0N6Yz0,NA,NA
codelist_mapping_flag_iccat_flag_fao_cwp,mapping,Code list mapping: flags used by ICCAT task2 datasets to ISO countries or areas codes,ird@ird.fr,paul.taconet@ird.fr,paul.taconet@ird.fr;julien.barde@ird.fr;emmanuel.blondel@ird.fr,paul.taconet@ird.fr,emmanuel.chassot@ird.fr,ird@ird.fr,paul.taconet@ird.fr,,,Mapping (i.e. correspondance) between codes for flags used by the International Commission for the Conservation of Atlantic Tunas (ICCAT) catch-and-efforts (task 2) datasets and 3-alpha country or area code of the International Organization for Standardization (ISO). This mapping was realized by IRD.,,2016-04-05,,,,,,ICCAT,"step1: Codes from source and target code lists were matched.
step2: The resulting CSV file of mapping was integrated into the Sardara database.",,flag.flag_mapping,NA,http://data.d4science.org/S29zS2FIYUVPUlprd05NNWIrSFpaRnduVkVyZ3JXY1NHbWJQNStIS0N6Yz0,NA,NA
codelist_mapping_flag_iccat_from_ncandcas_flag_fao_cwp,mapping,"Code list mapping: codes for flags used by ICCAT nominal catch, catch-at-size and catch-and-effort by operation mode datasets to ISO countries or areas codes",ird@ird.fr,paul.taconet@ird.fr,paul.taconet@ird.fr;julien.barde@ird.fr;emmanuel.blondel@ird.fr,paul.taconet@ird.fr,emmanuel.chassot@ird.fr,ird@ird.fr,paul.taconet@ird.fr,,,"Mapping (i.e. correspondance) between codes for flags used by the International Commission for the Conservation of Atlantic Tunas (ICCAT) nominal catch (task 1), catch-at-size and catch-and-effort by operation mode (task 2 by opeation mode) datasets and 3-alpha country or area code of the International Organization for Standardization (ISO). This mapping was realized by IRD.",,2016-07-04,,,,,,ICCAT,"step1: Codes from source and target code lists were matched.
step2: The resulting CSV file of mapping was integrated into the Sardara database.",,flag.flag_mapping,NA,http://data.d4science.org/c3UrclE4Z2pTbUJrd05NNWIrSFpaTkRRNlBHTnEvVXBHbWJQNStIS0N6Yz0,NA,NA
codelist_mapping_flag_iccat_from_ncandcas_flag_iccat,mapping,"Code list mapping: codes for flags used by ICCAT nominal catch, catch-at-size and catch-and-effort by operation mode datasets to codes for flags used by ICCAT catch-and-effort standard datasets",ird@ird.fr,paul.taconet@ird.fr,paul.taconet@ird.fr;julien.barde@ird.fr;emmanuel.blondel@ird.fr,paul.taconet@ird.fr,emmanuel.chassot@ird.fr,ird@ird.fr,paul.taconet@ird.fr,,,"Mapping (i.e. correspondance) between codes for flags used by the International Commission for the Conservation of Atlantic Tunas (ICCAT) nominal catch (task 1), catch-at-size and catch-and-effort by operation mode (task 2 by operation mode) datasets and codes for flags used in ICCAT task2 datasets. This mapping was realized by IRD.",,2017-03-09,,,,,,ICCAT,"step1: Codes from source and target code lists were matched.
step2: The resulting CSV file of mapping was integrated into the Sardara database.",,flag.flag_mapping,NA,http://data.d4science.org/amgvcndTUm44NVprd05NNWIrSFpaUGxGMHRaRFVpdUZHbWJQNStIS0N6Yz0,NA,NA
codelist_mapping_flag_iotc_flag_fao_cwp,mapping,Code list mapping: flags used by IOTC to ISO countries or areas codes,ird@ird.fr,paul.taconet@ird.fr,paul.taconet@ird.fr;julien.barde@ird.fr;emmanuel.blondel@ird.fr,paul.taconet@ird.fr,emmanuel.chassot@ird.fr,ird@ird.fr,paul.taconet@ird.fr,,,Mapping (i.e. correspondance) between codes for flags used by the Indian Ocean Tuna Commission (IOTC) and 3-alpha country or area code of the International Organization for Standardization (ISO). This mapping was realized by IRD.,,2016-03-14,,,,,,IOTC,"step1: Codes from source and target code lists were matched.
step2: The resulting CSV file of mapping was integrated into the Sardara database.",,flag.flag_mapping,NA,http://data.d4science.org/N0lUM1JlODA4WlJrd05NNWIrSFpaTU1JT2JsWVRnZ3NHbWJQNStIS0N6Yz0,NA,NA
codelist_mapping_flag_wcpfc_flag_fao_cwp,mapping,Code list mapping: flags used by WCPFC to ISO countries or areas codes,ird@ird.fr,paul.taconet@ird.fr,paul.taconet@ird.fr;julien.barde@ird.fr;emmanuel.blondel@ird.fr,paul.taconet@ird.fr,emmanuel.chassot@ird.fr,ird@ird.fr,paul.taconet@ird.fr,,,Mapping (i.e. correspondance) between codes for flags used by the Western and Central Pacific Fisheries Commission (WCPFC) and 3-alpha country or area code of the International Organization for Standardization (ISO). This mapping was realized by IRD.,,2016-03-14,,,,,,WCPFC,"step1: Codes from source and target code lists were matched.
step2: The resulting CSV file of mapping was integrated into the Sardara database.",,flag.flag_mapping,NA,http://data.d4science.org/aUlEM2kzMzN1eVJrd05NNWIrSFpaUGZnQXY2dFBncTJHbWJQNStIS0N6Yz0,NA,NA
codelist_mapping_gear_ccsbt_geargroup_tunaatlas,mapping,Code list mapping: gears used by CCSBT to groups of gears used in the IRD Tuna Atlas,ird@ird.fr,paul.taconet@ird.fr,paul.taconet@ird.fr;julien.barde@ird.fr;emmanuel.blondel@ird.fr,paul.taconet@ird.fr,emmanuel.chassot@ird.fr,ird@ird.fr,paul.taconet@ird.fr,,,Mapping (i.e. correspondance) between codes for gears used by the Commission for the Conservation of Southern Bluefin Tuna (CCSBT) and codes for groups of gears used in the French National Research Institute for Sustainable Development (IRD) Tuna Atlas. This mapping was realized by IRD.,,2017-04-13,,,,,,CCSBT,"step1: Codes from source and target code lists were matched.
step2: The resulting CSV file of mapping was integrated into the Sardara database.",,gear.gear_mapping,NA,http://data.d4science.org/K2RvZHE3SzF3UVZrd05NNWIrSFpaTlN0Y1NyZFNNQ1lHbWJQNStIS0N6Yz0,NA,NA
codelist_mapping_gear_ccsbt_isscfg_revision_1,mapping,Code list mapping: gears used by CCSBT to the ISSCFG codes,ird@ird.fr,paul.taconet@ird.fr,paul.taconet@ird.fr;julien.barde@ird.fr;emmanuel.blondel@ird.fr,paul.taconet@ird.fr,emmanuel.chassot@ird.fr,ird@ird.fr,paul.taconet@ird.fr,,,Mapping (i.e. correspondance) between codes for gears used by the Commission for the Conservation of Southern Bluefin Tuna (CCSBT) and codes of the International Standard Statistical Classification of Fishing Gear (ISSCFG). This mapping was realized by the CCSBT in collaboration with IRD and the Food and Agriculture Organization of the United Nations in the frame of the Coordinating Working Party on Fishery Statistics (CWP) activities.,,2017-04-25,,,,,,CCSBT,"step1: Codes from source and target code lists were matched.
step2: The resulting CSV file of mapping was integrated into the Sardara database.",,gear.gear_mapping,NA,http://data.d4science.org/ZlNTNDVrZTg2bjFrd05NNWIrSFpaUFBrUGRJYnIwWXZHbWJQNStIS0N6Yz0,NA,NA
codelist_mapping_gear_iattc_geargroup_tunaatlas,mapping,Code list mapping: gears used by IATTC to groups of gears used in the IRD Tuna Atlas,ird@ird.fr,paul.taconet@ird.fr,paul.taconet@ird.fr;julien.barde@ird.fr;emmanuel.blondel@ird.fr,paul.taconet@ird.fr,emmanuel.chassot@ird.fr,ird@ird.fr,paul.taconet@ird.fr,,,Mapping (i.e. correspondance) between codes for gears used by the Inter-American Tropical Tuna Commission (IATTC) and codes for groups of gears used in the French National Research Institute for Sustainable Development (IRD) Tuna Atlas. This mapping was realized by IRD.,,2016-03-14,,,,,,IATTC,"step1: Codes from source and target code lists were matched.
step2: The resulting CSV file of mapping was integrated into the Sardara database.",,gear.gear_mapping,NA,http://data.d4science.org/cmtyZnMrQ3NuUWhrd05NNWIrSFpaSXZ3RzVHWVRZQ3ZHbWJQNStIS0N6Yz0,NA,NA
codelist_mapping_gear_iattc_isscfg_revision_1,mapping,Code list mapping: gears used by IATTC to the ISSCFG codes,ird@ird.fr,paul.taconet@ird.fr;nvogel@iattc.org,paul.taconet@ird.fr;julien.barde@ird.fr;emmanuel.blondel@ird.fr,paul.taconet@ird.fr,emmanuel.chassot@ird.fr,ird@ird.fr,paul.taconet@ird.fr,,,Mapping (i.e. correspondance) between codes for gears used by the Inter-American Tropical Tuna Commission (IATTC) and codes of the International Standard Statistical Classification of Fishing Gear (ISSCFG). This mapping was realized by the CCSBT in collaboration with IRD and the Food and Agriculture Organization of the United Nations in the frame of the Coordinating Working Party on Fishery Statistics (CWP) activities.,,2017-03-20,,,,,,IATTC,"step1: Codes from source and target code lists were matched.
step2: The resulting CSV file of mapping was integrated into the Sardara database.",,gear.gear_mapping,NA,http://data.d4science.org/WFNQdGczUTdDUVZrd05NNWIrSFpaQXV0My80NHNQNTdHbWJQNStIS0N6Yz0,NA,NA
codelist_mapping_gear_iccat_geargroup_tunaatlas,mapping,Code list mapping: gears used by ICCAT to groups of gears used in the IRD Tuna Atlas,ird@ird.fr,paul.taconet@ird.fr,paul.taconet@ird.fr;julien.barde@ird.fr;emmanuel.blondel@ird.fr,paul.taconet@ird.fr,emmanuel.chassot@ird.fr,ird@ird.fr,paul.taconet@ird.fr,,,Mapping (i.e. correspondance) between codes for gears used by the International Commission for the Conservation of Atlantic Tunas (ICCAT) and codes for groups of gears used in the French National Research Institute for Sustainable Development (IRD) Tuna Atlas. This mapping was realized by IRD.,,2016-03-14,,,,,,ICCAT,"step1: Codes from source and target code lists were matched.
step2: The resulting CSV file of mapping was integrated into the Sardara database.",,gear.gear_mapping,NA,http://data.d4science.org/L0tRVnhhY1FtR1prd05NNWIrSFpaSlV6RFJSRFgxRk1HbWJQNStIS0N6Yz0,NA,NA
codelist_mapping_gear_iccat_isscfg_revision_1,mapping,Code list mapping: gears used by ICCAT to the ISSCFG codes,ird@ird.fr,paul.taconet@ird.fr;carlos.palma@iccat.int,paul.taconet@ird.fr;julien.barde@ird.fr;emmanuel.blondel@ird.fr,paul.taconet@ird.fr,emmanuel.chassot@ird.fr,ird@ird.fr,paul.taconet@ird.fr,,,Mapping (i.e. correspondance) between codes for gears used by the International Commission for the Conservation of Atlantic Tunas (ICCAT) and codes of the International Standard Statistical Classification of Fishing Gear (ISSCFG). This mapping was realized by the CCSBT in collaboration with IRD and the Food and Agriculture Organization of the United Nations in the frame of the Coordinating Working Party on Fishery Statistics (CWP) activities.,,2017-06-06,,,,,,ICCAT,"step1: Codes from source and target code lists were matched.
step2: The resulting CSV file of mapping was integrated into the Sardara database.",,gear.gear_mapping,NA,http://data.d4science.org/NlBaWU9zVGcrdzlrd05NNWIrSFpaUDZRb2RTR2w5MlJHbWJQNStIS0N6Yz0,NA,NA
codelist_mapping_gear_iotc_geargroup_tunaatlas,mapping,Code list mapping: gears used by IOTC to groups of gears used in the IRD Tuna Atlas,ird@ird.fr,paul.taconet@ird.fr,paul.taconet@ird.fr;julien.barde@ird.fr;emmanuel.blondel@ird.fr,paul.taconet@ird.fr,emmanuel.chassot@ird.fr,ird@ird.fr,paul.taconet@ird.fr,,,Mapping (i.e. correspondance) between codes for gears used by the Indian Ocean Tuna Commission (IOTC) and codes for groups of gears used in the French National Research Institute for Sustainable Development (IRD) Tuna Atlas. This mapping was realized by IRD.,,2016-03-14,,,,,,IOTC,"step1: Codes from source and target code lists were matched.
step2: The resulting CSV file of mapping was integrated into the Sardara database.",,gear.gear_mapping,NA,http://data.d4science.org/Q3c2V2lTbm10QmRrd05NNWIrSFpaTTQ1K1c0RFpJbjNHbWJQNStIS0N6Yz0,NA,NA
codelist_mapping_gear_iotc_isscfg_revision_1,mapping,Code list mapping: gears used by IOTC to the ISSCFG codes,ird@ird.fr,paul.taconet@ird.fr;fabio.fiorellato@iotc.org,paul.taconet@ird.fr;julien.barde@ird.fr;emmanuel.blondel@ird.fr,paul.taconet@ird.fr,emmanuel.chassot@ird.fr,ird@ird.fr,paul.taconet@ird.fr,,,Mapping (i.e. correspondance) between codes for gears used by the Indian Ocean Tuna Commission (IOTC) and codes of the International Standard Statistical Classification of Fishing Gear (ISSCFG). This mapping was realized by the CCSBT in collaboration with IRD and the Food and Agriculture Organization of the United Nations in the frame of the Coordinating Working Party on Fishery Statistics (CWP) activities.,,2017-03-20,,,,,,IOTC,"step1: Codes from source and target code lists were matched.
step2: The resulting CSV file of mapping was integrated into the Sardara database.",,gear.gear_mapping,NA,http://data.d4science.org/ZDRIeVdTVGs0UHRrd05NNWIrSFpaUDIvQys2Wk5JZ3NHbWJQNStIS0N6Yz0,NA,NA
codelist_mapping_gear_wcpfc_geargroup_tunaatlas,mapping,Code list mapping: gears used by WCPFC to groups of gears used in the IRD Tuna Atlas,ird@ird.fr,paul.taconet@ird.fr,paul.taconet@ird.fr;julien.barde@ird.fr;emmanuel.blondel@ird.fr,paul.taconet@ird.fr,emmanuel.chassot@ird.fr,ird@ird.fr,paul.taconet@ird.fr,,,Mapping (i.e. correspondance) between codes for gears used by the Western and Central Pacific Fisheries Commission (WCPFC) and codes for groups of gears used in the French National Research Institute for Sustainable Development (IRD) Tuna Atlas. This mapping was realized by IRD.,,2016-03-14,,,,,,WCPFC,"step1: Codes from source and target code lists were matched.
step2: The resulting CSV file of mapping was integrated into the Sardara database.",,gear.gear_mapping,NA,http://data.d4science.org/K3VWc0liY3NQcUprd05NNWIrSFpaTjM2SWl5MGhaN0xHbWJQNStIS0N6Yz0,NA,NA
codelist_mapping_gear_wcpfc_isscfg_revision_1,mapping,Code list mapping: gears used by WCPFC to the ISSCFG codes,ird@ird.fr,paul.taconet@ird.fr;PeterW@spc.int,paul.taconet@ird.fr;julien.barde@ird.fr;emmanuel.blondel@ird.fr,paul.taconet@ird.fr,emmanuel.chassot@ird.fr,ird@ird.fr,paul.taconet@ird.fr,,,Mapping (i.e. correspondance) between codes for gears used by the Western and Central Pacific Fisheries Commission (WCPFC) and codes of the International Standard Statistical Classification of Fishing Gear (ISSCFG). This mapping was realized by the CCSBT in collaboration with IRD and the Food and Agriculture Organization of the United Nations in the frame of the Coordinating Working Party on Fishery Statistics (CWP) activities.,,2017-03-20,,,,,,WCPFC,"step1: Codes from source and target code lists were matched.
step2: The resulting CSV file of mapping was integrated into the Sardara database.",,gear.gear_mapping,NA,http://data.d4science.org/Z0VKM3N6SnVYK2Rrd05NNWIrSFpaT0gyaC80dEEzMlVHbWJQNStIS0N6Yz0,NA,NA
codelist_mapping_isscfg_revision_1_geargroup_tunaatlas,mapping,Code list mapping: gears used in the ISSCFG to groups of gears used in the IRD Tuna Atlas,ird@ird.fr,paul.taconet@ird.fr,paul.taconet@ird.fr;julien.barde@ird.fr;emmanuel.blondel@ird.fr,paul.taconet@ird.fr,emmanuel.chassot@ird.fr,ird@ird.fr,paul.taconet@ird.fr,,,Code list mapping: gears used in the ISSCFG to groups of gears used in the IRD Tuna Atlas,,2017-05-10,,,,,,IRD,"step1: Codes from source and target code lists were matched.
step2: The resulting CSV file of mapping was integrated into the Sardara database.",,gear.gear_mapping,NA,http://data.d4science.org/c2dBalRoRUxHSlZrd05NNWIrSFpaTjlRbnJvb3JsamhHbWJQNStIS0N6Yz0,NA,NA
codelist_mapping_schooltype_ccsbt_schooltype_rfmos,mapping,Code list mapping: types of schools used by CCSBT to types of schools used in the IRD Tuna Atlas,ird@ird.fr,paul.taconet@ird.fr,paul.taconet@ird.fr;julien.barde@ird.fr;emmanuel.blondel@ird.fr,paul.taconet@ird.fr,emmanuel.chassot@ird.fr,ird@ird.fr,paul.taconet@ird.fr,,,Mapping (i.e. correspondance) between codes for types of schools used by the Commission for the Conservation of Southern Bluefin Tuna (CCSBT) and codes for types of schools used in the French National Research Institute for Sustainable Development (IRD) Tuna Atlas. This mapping was realized by IRD.,,2017-05-09,,,,,,CCSBT,"step1: Codes from source and target code lists were matched.
step2: The resulting CSV file of mapping was integrated into the Sardara database.",,schooltype.schooltype_mapping,NA,http://data.d4science.org/RGdSQTZtVHFGaFJrd05NNWIrSFpaTzRQc1pxektSNmRHbWJQNStIS0N6Yz0,NA,NA
codelist_mapping_schooltype_iattc_schooltype_rfmos,mapping,Code list mapping: types of schools used by IATTC to types of schools used in the IRD Tuna Atlas,ird@ird.fr,paul.taconet@ird.fr,paul.taconet@ird.fr;julien.barde@ird.fr;emmanuel.blondel@ird.fr,paul.taconet@ird.fr,emmanuel.chassot@ird.fr,ird@ird.fr,paul.taconet@ird.fr,,,Mapping (i.e. correspondance) between codes for types of schools used by the Inter-American Tropical Tuna Commission (IATTC) and codes for types of schools used in the French National Research Institute for Sustainable Development (IRD) Tuna Atlas. This mapping was realized by IRD.,,2017-03-01,,,,,,IATTC,"step1: Codes from source and target code lists were matched.
step2: The resulting CSV file of mapping was integrated into the Sardara database.",,schooltype.schooltype_mapping,NA,http://data.d4science.org/dk1KVk9sZy9YcFJrd05NNWIrSFpaSEFFaHk2cjRxZ0hHbWJQNStIS0N6Yz0,NA,NA
codelist_mapping_schooltype_iccat_schooltype_rfmos,mapping,Code list mapping: types of schools used by ICCAT to types of schools used in the IRD Tuna Atlas,ird@ird.fr,paul.taconet@ird.fr,paul.taconet@ird.fr;julien.barde@ird.fr;emmanuel.blondel@ird.fr,paul.taconet@ird.fr,emmanuel.chassot@ird.fr,ird@ird.fr,paul.taconet@ird.fr,,,Mapping (i.e. correspondance) between codes for types of schools used by the International Commission for the Conservation of Atlantic Tunas (ICCAT) and codes for types of schools used in the French National Research Institute for Sustainable Development (IRD) Tuna Atlas. This mapping was realized by IRD.,,2017-03-01,,,,,,ICCAT,"step1: Codes from source and target code lists were matched.
step2: The resulting CSV file of mapping was integrated into the Sardara database.",,schooltype.schooltype_mapping,NA,http://data.d4science.org/T0VlSldMTGF6TDVrd05NNWIrSFpaSGx6dnRkQlZwVDZHbWJQNStIS0N6Yz0,NA,NA
codelist_mapping_schooltype_iotc_schooltype_rfmos,mapping,Code list mapping: types of schools used by IOTC to types of schools used in the IRD Tuna Atlas,ird@ird.fr,paul.taconet@ird.fr,paul.taconet@ird.fr;julien.barde@ird.fr;emmanuel.blondel@ird.fr,paul.taconet@ird.fr,emmanuel.chassot@ird.fr,ird@ird.fr,paul.taconet@ird.fr,,,Mapping (i.e. correspondance) between codes for types of schools used by the Indian Ocean Tuna Commission (IOTC) and codes for types of schools used in the French National Research Institute for Sustainable Development (IRD) Tuna Atlas. This mapping was realized by IRD.,,2017-03-01,,,,,,IOTC,"step1: Codes from source and target code lists were matched.
step2: The resulting CSV file of mapping was integrated into the Sardara database.",,schooltype.schooltype_mapping,NA,http://data.d4science.org/TDAvbWRSVEptRFprd05NNWIrSFpaQ3B2V2I4LzVueFJHbWJQNStIS0N6Yz0,NA,NA
codelist_mapping_schooltype_wcpfc_schooltype_rfmos,mapping,Code list mapping: types of schools used by WCPFC to types of schools used in the IRD Tuna Atlas,ird@ird.fr,paul.taconet@ird.fr,paul.taconet@ird.fr;julien.barde@ird.fr;emmanuel.blondel@ird.fr,paul.taconet@ird.fr,emmanuel.chassot@ird.fr,ird@ird.fr,paul.taconet@ird.fr,,,Mapping (i.e. correspondance) between codes for types of schools used by the Western and Central Pacific Fisheries Commission (WCPFC) and codes for types of schools used in the French National Research Institute for Sustainable Development (IRD) Tuna Atlas. This mapping was realized by IRD.,,2017-03-01,,,,,,WCPFC,"step1: Codes from source and target code lists were matched.
step2: The resulting CSV file of mapping was integrated into the Sardara database.",,schooltype.schooltype_mapping,NA,http://data.d4science.org/TUdlKyt0N1AxSDVrd05NNWIrSFpaQVNuc3VqSlp2cEZHbWJQNStIS0N6Yz0,NA,NA
codelist_mapping_species_ccsbt_species_asfis,mapping,Code list mapping: species used by CCSBT to the ASFIS codes,ird@ird.fr,paul.taconet@ird.fr,paul.taconet@ird.fr;julien.barde@ird.fr;emmanuel.blondel@ird.fr,paul.taconet@ird.fr,emmanuel.chassot@ird.fr,ird@ird.fr,paul.taconet@ird.fr,,,Mapping (i.e. correspondance) between codes for species used by the Commission for the Conservation of Southern Bluefin Tuna (CCSBT) and the 3-alpha codes of the ASFIS List of Species for Fishery Statistics Purposes. This mapping was realized by IRD.,,2017-05-09,,,,,,CCSBT,"step1: Codes from source and target code lists were matched.
step2: The resulting CSV file of mapping was integrated into the Sardara database.",,species.species_mapping,NA,http://data.d4science.org/aHdNVElMZ0FITzlrd05NNWIrSFpaQWdybGY2TW8vNEdHbWJQNStIS0N6Yz0,NA,NA
codelist_mapping_species_ccsbt_speciesgroup_tunaatlas,mapping,Code list mapping: species used by CCSBT to groups of species used in the IRD Tuna Atlas,ird@ird.fr,paul.taconet@ird.fr,paul.taconet@ird.fr;julien.barde@ird.fr;emmanuel.blondel@ird.fr,paul.taconet@ird.fr,emmanuel.chassot@ird.fr,ird@ird.fr,paul.taconet@ird.fr,,,Mapping (i.e. correspondance) between codes for species used by the Commission for the Conservation of Southern Bluefin Tuna (CCSBT) and codes for groups of species used in the French National Research Institute for Sustainable Development (IRD) Tuna Atlas. This mapping was realized by IRD.,,2017-05-09,,,,,,CCSBT,"step1: Codes from source and target code lists were matched.
step2: The resulting CSV file of mapping was integrated into the Sardara database.",,species.species_mapping,NA,http://data.d4science.org/LzRaZng2Vmlzck5rd05NNWIrSFpaS1QrOTl5YkFRQVhHbWJQNStIS0N6Yz0,NA,NA
codelist_mapping_species_iattc_species_asfis,mapping,Code list mapping: species used by IATTC to the ASFIS codes,ird@ird.fr,paul.taconet@ird.fr,paul.taconet@ird.fr;julien.barde@ird.fr;emmanuel.blondel@ird.fr,paul.taconet@ird.fr,emmanuel.chassot@ird.fr,ird@ird.fr,paul.taconet@ird.fr,,,Mapping (i.e. correspondance) between codes for species used by the Inter-American Tropical Tuna Commission (IATTC) and the 3-alpha codes of the ASFIS List of Species for Fishery Statistics Purposes. This mapping was realized by IRD.,,2016-04-11,,,,,,IATTC,"step1: Codes from source and target code lists were matched.
step2: The resulting CSV file of mapping was integrated into the Sardara database.",,species.species_mapping,NA,http://data.d4science.org/OEMrcDZCRW1Od2xrd05NNWIrSFpaQ2JKeXFOU012SlhHbWJQNStIS0N6Yz0,NA,NA
codelist_mapping_species_iattc_speciesgroup_tunaatlas,mapping,Code list mapping: species used by IATTC to groups of species used in the IRD Tuna Atlas,ird@ird.fr,paul.taconet@ird.fr;emmanuel.chassot@ird.fr;evgeny.romanov@ird.fr,paul.taconet@ird.fr;julien.barde@ird.fr;emmanuel.blondel@ird.fr,paul.taconet@ird.fr,emmanuel.chassot@ird.fr,ird@ird.fr,paul.taconet@ird.fr,,,Mapping (i.e. correspondance) between codes for species used by the Inter-American Tropical Tuna Commission (IATTC) and codes for groups of species used in the French National Research Institute for Sustainable Development (IRD) Tuna Atlas. This mapping was realized by IRD.,,2016-09-02,,,,,,IATTC,"step1: Codes from source and target code lists were matched.
step2: The resulting CSV file of mapping was integrated into the Sardara database.",,species.species_mapping,NA,http://data.d4science.org/VXRuU2VaQXN1Vmhrd05NNWIrSFpaT20xeGlvNXdkdVZHbWJQNStIS0N6Yz0,NA,NA
codelist_mapping_species_iccat_species_asfis,mapping,Code list mapping: species used by ICCAT to the ASFIS codes,ird@ird.fr,paul.taconet@ird.fr,paul.taconet@ird.fr;julien.barde@ird.fr;emmanuel.blondel@ird.fr,paul.taconet@ird.fr,emmanuel.chassot@ird.fr,ird@ird.fr,paul.taconet@ird.fr,,,Mapping (i.e. correspondance) between codes for species used by the International Commission for the Conservation of Atlantic Tunas (ICCAT) and the 3-alpha codes of the ASFIS List of Species for Fishery Statistics Purposes. This mapping was realized by IRD.,,2016-03-14,,,,,,ICCAT,"step1: Codes from source and target code lists were matched.
step2: The resulting CSV file of mapping was integrated into the Sardara database.",,species.species_mapping,NA,http://data.d4science.org/UGpwcTNJRFZkQnBrd05NNWIrSFpaRGhHRWhCaXY5bE9HbWJQNStIS0N6Yz0,NA,NA
codelist_mapping_species_iccat_speciesgroup_tunaatlas,mapping,Code list mapping: species used by ICCAT to groups of species used in the IRD Tuna Atlas,ird@ird.fr,paul.taconet@ird.fr;emmanuel.chassot@ird.fr;evgeny.romanov@ird.fr,paul.taconet@ird.fr;julien.barde@ird.fr;emmanuel.blondel@ird.fr,paul.taconet@ird.fr,emmanuel.chassot@ird.fr,ird@ird.fr,paul.taconet@ird.fr,,,Mapping (i.e. correspondance) between codes for species used by the International Commission for the Conservation of Atlantic Tunas (ICCAT) and codes for groups of species used in the French National Research Institute for Sustainable Development (IRD) Tuna Atlas. This mapping was realized by IRD.,,2016-09-02,,,,,,ICCAT,"step1: Codes from source and target code lists were matched.
step2: The resulting CSV file of mapping was integrated into the Sardara database.",,species.species_mapping,NA,http://data.d4science.org/V0JXY2tUdnhmcWhrd05NNWIrSFpaTjlscVRQWnVhRnpHbWJQNStIS0N6Yz0,NA,NA
codelist_mapping_species_iotc_species_asfis,mapping,Code list mapping: species used by IOTC to the ASFIS codes,ird@ird.fr,paul.taconet@ird.fr,paul.taconet@ird.fr;julien.barde@ird.fr;emmanuel.blondel@ird.fr,paul.taconet@ird.fr,emmanuel.chassot@ird.fr,ird@ird.fr,paul.taconet@ird.fr,,,Mapping (i.e. correspondance) between codes for species used by the Indian Ocean Tuna Commission (IOTC) and the 3-alpha codes of the ASFIS List of Species for Fishery Statistics Purposes. This mapping was realized by IRD.,,2016-03-14,,,,,,IOTC,"step1: Codes from source and target code lists were matched.
step2: The resulting CSV file of mapping was integrated into the Sardara database.",,species.species_mapping,NA,http://data.d4science.org/UVhFYk5sWUcxaXhrd05NNWIrSFpaUDQ4VU0xZFd5NjJHbWJQNStIS0N6Yz0,NA,NA
codelist_mapping_species_iotc_speciesgroup_tunaatlas,mapping,Code list mapping: species used by IOTC to groups of species used in the IRD Tuna Atlas,ird@ird.fr,paul.taconet@ird.fr;emmanuel.chassot@ird.fr;evgeny.romanov@ird.fr,paul.taconet@ird.fr;julien.barde@ird.fr;emmanuel.blondel@ird.fr,paul.taconet@ird.fr,emmanuel.chassot@ird.fr,ird@ird.fr,paul.taconet@ird.fr,,,Mapping (i.e. correspondance) between codes for species used by the Indian Ocean Tuna Commission (IOTC) and codes for groups of species used in the French National Research Institute for Sustainable Development (IRD) Tuna Atlas. This mapping was realized by IRD.,,2016-09-02,,,,,,IOTC,"step1: Codes from source and target code lists were matched.
step2: The resulting CSV file of mapping was integrated into the Sardara database.",,species.species_mapping,NA,http://data.d4science.org/MTIvOUxpY2hGZkprd05NNWIrSFpaQ3pZTzZ0ZUhwemRHbWJQNStIS0N6Yz0,NA,NA
